學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,113,-,16,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,28,-,22,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,225,9,54,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,45,5,16,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,80,-,19,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,39,5,7,30 臺北市,1 一般
0001,國立政治大學,01199Y03,教育學院,D 日,,-,3,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,27,-,5,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,31,5,4,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,26,-,2,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,64,-,11,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,160,18,29,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,19,-,2,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,55,7,16,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,15,-,1,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,25,-,6,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,178,9,32,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,21,-,5,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,44,-,11,30 臺北市,1 一般
