年度,編號,薦送獎項類別,表揚人員
111,1,國民小學傑出學輔主管,新北市中和區光復國民小學學務主任黃雅慧
111,2,國民小學傑出學輔主管,新北市三峽區龍埔國民小學輔導主任張家鈞
111,3,國民小學傑出學輔主管,臺中市南屯區大墩國民小學輔導主任林純媛
111,4,國民中學傑出學輔主管,新竹市立建華國民中學學務主任姚清元
111,5,國民中學傑出學輔主管,高雄市立前峰國民中學學務主任張毓窈
111,6,高級中學傑出學輔主管,臺北市立大同高級中學學務主任周明蒨
111,7,高級中學傑出學輔主管,國立善化高級中學主任教官周宏昌
111,8,大專校院傑出學輔主管,中原大學主任李俊耀
111,9,大專校院傑出學輔主管,輔英科技大學主任楊瀚焜
111,10,國民小學傑出學務人員,新北市三重區五華國民小學生輔組長邱慧金
111,11,國民小學傑出學務人員,高雄市阿蓮區阿蓮國民小學生活教育組長陳聖樺
111,12,國民中學傑出學務人員,新北市立三民高級中學(國中部)生教副組長鄭有誠
111,13,國民中學傑出學務人員,新北市立江翠國民中學生教副組長李元堯
111,14,高級中學傑出學務人員,國立中興高級中學訓育組長吳聲弘
111,15,高級中學傑出學務人員,國立金門高級中學生輔組長林佳承
111,16,大專校院傑出學務人員,亞東學校財團法人亞東科技大學技士蕭惠卿
111,17,大專校院傑出學務人員,修平學校財團法人修平科技大學軍訓室軍訓教官黃碧如
111,18,大專校院傑出學務人員,嘉藥學校財團法人嘉南藥理大學生活暨住宿輔導組約用人員黃馨慧
111,19,國民小學傑出輔導人員,新北市板橋區沙崙國民小學輔導組長蕭靜娥
111,20,國民小學傑出輔導人員,臺中市龍井區龍井國民小學專任輔導教師辛淑萍
111,21,國民小學傑出輔導人員,基隆市信義區中興國民小學輔導教師吳玲琲
111,22,國民小學傑出輔導人員,彰化縣彰化市中山國民小學專任輔導教師陳源滄
111,23,國民中學傑出輔導人員,臺南市立忠孝國民中學專任輔導教師林世欣
111,24,國民中學傑出輔導人員,新竹市立育賢國民中學專任輔導教師林正綺
111,25,國民中學傑出輔導人員,嘉義市立蘭潭國民中學輔導組長徐瑾如
111,26,國民中學傑出輔導人員,花蓮縣立自強國民中學諮商組長蘇聖雅
111,27,高級中學傑出輔導人員,臺北市立永春高級中學專任輔導教師潘玳玉
111,28,大專校院傑出輔導人員,輔仁大學學校財團法人輔仁大學學生輔導中心心理師何冠瑩
111,29,大專校院傑出輔導人員,國立雲林科技大學諮商輔導中心約用心理師郭素蘭
111,30,國民小學傑出導師,臺北市大同區大龍國民小學導師張雅曛
111,31,國民小學傑出導師,新北市板橋區溪洲國民小學導師吳美慧
111,32,國民小學傑出導師,嘉義市志航國民小學導師黃妮瑋
111,33,國民中學傑出導師,金陵學校財團法人新北市金陵女子高級中學(國中部)導師林育翠
111,34,國民中學傑出導師,宜蘭縣立凱旋國民中學導師林怡君
111,35,高級中學傑出導師,明德學校財團法人臺中市明德高級中學導師楊靜如
111,36,高級中學傑出導師,國立二林高級工商職業學校導師盧慧文
111,37,大專校院傑出導師,國立臺灣師範大學教育心理與輔導學系副教授陳慧娟
111,38,大專校院傑出導師,國立成功大學經濟學系教授蔡群立
111,39,特殊貢獻人員,新北市立豐珠中學校長陳紅蓮
111,40,傑出行政人員,新北市政府教育局學生輔導諮商中心社工師督導蘇迎臨
111,41,國民小學卓越學校,雲林縣元長鄉元長國民小學
111,42,國民小學卓越學校,嘉義縣溪口鄉溪口國民小學
111,43,國民小學卓越學校,臺南市安平區西門實驗小學
111,44,國民小學卓越學校,金門縣金湖鎮金湖國民小學 
111,45,國民中學卓越學校,新北市立福營國民中學
111,46,國民中學卓越學校,臺中市立清泉國民中學
111,47,高級中學卓越學校,國立關山高級工商職業學校
111,48,大專校院卓越學校,東吳大學
111,49,大專校院卓越學校,國立成功大學
