類別,學校代碼,學校名稱,核定經費,核定經費(單位：元)
一般大學,1,國立政治大學,329930867,329930867
一般大學,2,國立清華大學,1220967100,1220967100
一般大學,3,國立臺灣大學,2373706811,2373706811
一般大學,4,國立臺灣師範大學,227929224,227929224
一般大學,5,國立成功大學,1411394285,1411394285
一般大學,6,國立中興大學,434316923,434316923
一般大學,7,國立交通大學,1053863529,1053863529
一般大學,8,國立中央大學,430861081,430861081
一般大學,9,國立中山大學,322987818,322987818
一般大學,12,國立臺灣海洋大學,145584221,145584221
一般大學,13,國立中正大學,156369963,156369963
一般大學,14,國立高雄師範大學,44084908,44084908
一般大學,15,國立彰化師範大學,74429705,74429705
一般大學,16,國立陽明大學,343541760,343541760
一般大學,17,國立臺北大學,87918881,87918881
一般大學,18,國立嘉義大學,67184744,67184744
一般大學,19,國立高雄大學,54953330,54953330
一般大學,20,國立東華大學,70715722,70715722
一般大學,21,國立暨南國際大學,79403409,79403409
一般大學,28,國立臺北藝術大學,54692010,54692010
一般大學,29,國立臺灣藝術大學,59155396,59155396
一般大學,30,國立臺東大學,62395000,62395000
一般大學,31,國立宜蘭大學,66512459,66512459
一般大學,32,國立聯合大學,45617239,45617239
一般大學,35,國立臺南藝術大學,20466800,20466800
一般大學,36,國立臺南大學,51007493,51007493
一般大學,37,國立臺北教育大學,55483152,55483152
一般大學,39,國立臺中教育大學,54477787,54477787
一般大學,44,國立體育大學,47956530,47956530
一般大學,48,國立金門大學,31714900,31714900
一般大學,49,國立臺灣體育運動大學,32266500,32266500
一般大學,52,國立屏東大學,66161742,66161742
一般大學,1001,東海大學,117310059,117310059
一般大學,1002,輔仁大學,95601027,95601027
一般大學,1003,東吳大學,95798971,95798971
一般大學,1004,中原大學,148806453,148806453
一般大學,1005,淡江大學,89652076,89652076
一般大學,1006,中國文化大學,67729589,67729589
一般大學,1007,逢甲大學,143132820,143132820
一般大學,1008,靜宜大學,95234054,95234054
一般大學,1009,長庚大學,161865834,161865834
一般大學,1010,元智大學,105594768,105594768
一般大學,1011,中華大學,52097489,52097489
一般大學,1012,大葉大學,61538868,61538868
一般大學,1013,華梵大學,29528273,29528273
一般大學,1014,義守大學,95870545,95870545
一般大學,1015,世新大學,61042590,61042590
一般大學,1016,銘傳大學,73275207,73275207
一般大學,1017,實踐大學,65418727,65418727
一般大學,1019,高雄醫學大學,144613769,144613769
一般大學,1020,南華大學,58375541,58375541
一般大學,1021,真理大學,16241103,16241103
一般大學,1022,大同大學,45157501,45157501
一般大學,1027,慈濟大學,58104000,58104000
一般大學,1028,臺北醫學大學,269196993,269196993
一般大學,1029,中山醫學大學,60561424,60561424
一般大學,1033,長榮大學,58971192,58971192
一般大學,1035,中國醫藥大學,197229763,197229763
一般大學,1039,玄奘大學,28064924,28064924
一般大學,1048,亞洲大學,63378497,63378497
一般大學,1049,開南大學,17114304,17114304
一般大學,1050,佛光大學,44190426,44190426
一般大學,1058,明道大學,3283000,3283000
一般大學,1067,台灣首府大學,7791922,7791922
一般大學,1079,康寧大學,2561000,2561000
一般大學,1125,中信金融管理學院,19760000,19760000
一般大學,1176,稻江科技暨管理學院,0,0
一般大學,1195,馬偕醫學院,37275145,37275145
一般大學,1196,法鼓文理學院,1549651,1549651
一般大學,1R04,一貫道天皇學院,1551000,1551000
一般大學,3002,臺北市立大學,50540391,50540391
技專校院,22,國立臺灣科技大學,333440036,333440036
技專校院,23,國立雲林科技大學,218002192,218002192
技專校院,24,國立屏東科技大學,166291017,166291017
技專校院,25,國立臺北科技大學,292350000,292350000
技專校院,33,國立虎尾科技大學,245290447,245290447
技專校院,42,國立澎湖科技大學,28210390,28210390
技專校院,43,國立勤益科技大學,139792863,139792863
技專校院,46,國立臺北護理健康大學,85999654,85999654
