類別,學校代碼,學校名稱,核定經費(單位：元)
一般大學,1,國立政治大學,321647507
一般大學,2,國立清華大學,1212025181
一般大學,3,國立臺灣大學,2326731025
一般大學,4,國立臺灣師範大學,227345240
一般大學,5,國立成功大學,1412842075
一般大學,6,國立中興大學,435822005
一般大學,7,國立交通大學,1045006199
一般大學,8,國立中央大學,414635736
一般大學,9,國立中山大學,319543756
一般大學,12,國立臺灣海洋大學,143939449
一般大學,13,國立中正大學,155211279
一般大學,14,國立高雄師範大學,45119575
一般大學,15,國立彰化師範大學,76155069
一般大學,16,國立陽明大學,344071676
一般大學,17,國立臺北大學,87781164
一般大學,18,國立嘉義大學,60938527
一般大學,19,國立高雄大學,54500373
一般大學,20,國立東華大學,69305637
一般大學,21,國立暨南國際大學,78590370
一般大學,28,國立臺北藝術大學,54492671
一般大學,29,國立臺灣藝術大學,59556713
一般大學,30,國立臺東大學,63314028
一般大學,31,國立宜蘭大學,66042501
一般大學,32,國立聯合大學,46522744
一般大學,35,國立臺南藝術大學,20345703
一般大學,36,國立臺南大學,50692770
一般大學,37,國立臺北教育大學,51861957
一般大學,39,國立臺中教育大學,54278971
一般大學,44,國立體育大學,47495537
一般大學,48,國立金門大學,32404852
一般大學,49,國立臺灣體育運動大學,33194861
一般大學,52,國立屏東大學,65557221
一般大學,1001,東海大學,115581793
一般大學,1002,輔仁大學,95856020
一般大學,1003,東吳大學,93148172
一般大學,1004,中原大學,143961800
一般大學,1005,淡江大學,93259358
一般大學,1006,中國文化大學,68047779
一般大學,1007,逢甲大學,144797731
一般大學,1008,靜宜大學,91908350
一般大學,1009,長庚大學,161222673
一般大學,1010,元智大學,105899941
一般大學,1011,中華大學,48553759
一般大學,1012,大葉大學,56198321
一般大學,1013,華梵大學,28959369
一般大學,1014,義守大學,95393896
一般大學,1015,世新大學,62657211
一般大學,1016,銘傳大學,73602918
一般大學,1017,實踐大學,65177294
一般大學,1019,高雄醫學大學,144753638
一般大學,1020,南華大學,58399445
一般大學,1021,真理大學,15957282
一般大學,1022,大同大學,45051619
一般大學,1027,慈濟大學,58675507
一般大學,1028,臺北醫學大學,269774060
一般大學,1029,中山醫學大學,60252552
一般大學,1033,長榮大學,61300431
一般大學,1035,中國醫藥大學,195523206
